ds,yhat
2010-05-16,12920.334952484036
2010-05-17,31769.301044845433
2010-05-18,33419.89305867919
2010-05-19,26853.27916298737
2010-05-20,33227.50203042493
2010-05-21,25109.10662110808
2010-05-23,9583.665002629617
2010-05-24,28891.10476126566
2010-05-25,31085.300495375443
2010-05-26,25129.365095982124
2010-05-27,32161.42686113627
2010-05-28,24726.871323680258
2010-05-30,10560.241548050097
2010-06-01,33268.269379888094
2010-06-02,27810.67287473287
2010-06-03,35249.9676630316
2010-06-04,28119.124777737812
2010-06-06,14216.08988161768
2010-06-07,34107.85545538418
2010-06-08,36709.356339115504
2010-06-09,30971.12348397905
2010-06-10,38024.53313348205
2010-06-11,30414.203668739403
2010-06-13,15331.176895381474
2010-06-14,34557.49303728878
2010-06-15,36468.832136490506
2010-06-16,30036.02191362537
2010-06-17,36410.57137515184
2010-06-18,28156.590651803213
2010-06-20,11963.196040933139
2010-06-21,30753.55757878418
2010-06-22,32324.914901505814
2010-06-23,25656.589925121767
2010-06-24,31905.507916889354
2010-06-25,23637.85750002073
2010-06-27,7744.584333194809
2010-06-28,26836.490624399
2010-06-29,28797.313460986952
2010-06-30,22593.389716055928
2010-07-01,29366.615911291035
2010-07-02,21666.599224785154
2010-07-04,6967.716083002193
2010-07-05,26650.381104886215
2010-07-06,29174.425255057347
2010-07-07,23490.130353397
2010-07-08,30724.942664333023
2010-07-09,23416.352270874053
2010-07-11,9253.75428722444
2010-07-12,29070.367690525
2010-07-13,31636.65922696565
2010-07-14,25905.046981454165
2010-07-15,33008.15628408088
2010-07-16,25491.204031042984
2010-07-18,10725.119184745503
2010-07-19,30173.005311949186
2010-07-20,32345.78862147149
2010-07-21,26211.737075184177
2010-07-22,32919.43579543714
2010-07-23,25029.628608553066
2010-07-25,9642.313656709191
2010-07-26,28866.14864676484
2010-07-27,30885.256159331417
2010-07-28,24674.243217152314
2010-07-29,31385.223498497395
2010-07-30,23579.53149573509
2010-08-01,8590.543913125304
2010-08-02,28115.312654004283
2010-08-03,30490.057865148974
2010-08-04,24676.786122453235
2010-08-05,31813.303463400225
2010-08-06,24445.409164514986
2010-08-08,10303.702017553616
2010-08-09,30205.602986103015
2010-08-10,32906.165995283845
2010-08-11,27353.923914673655
2010-08-12,34675.2151084037
2010-08-13,27406.81113773327
2010-08-15,13186.4012112717
2010-08-16,32907.06077888758
2010-08-17,35335.258246706406
2010-08-18,29426.26297436833
2010-08-19,36316.3146968732
2010-08-20,28555.010129063714
2010-08-22,13227.60984270012
2010-08-23,32370.96185767172
2010-08-24,34232.68144438564
2010-08-25,27788.806156372637
2010-08-26,34196.17170277986
2010-08-27,26024.149039255233
2010-08-29,10162.409124543325
2010-08-31,31110.656233341
2010-09-01,24841.37442820061
2010-09-02,31564.179968832523
2010-09-03,23847.59842710209
2010-09-05,9292.874248998329
2010-09-06,29172.1047863598
2010-09-07,31996.911239998735
2010-09-08,26730.515961667897
2010-09-09,34510.35596775917
2010-09-10,27880.197868493262
2010-09-12,15480.485938749795
2010-09-13,36373.97104484787
2010-09-14,40135.24636481845
2010-09-15,35702.397610759166
2010-09-16,44189.85285912664
2010-09-17,38121.16409424569
2010-09-19,26342.55735005923
2010-09-20,47274.13402245868
2010-09-21,50884.96063436751
2010-09-22,46113.85394204134
2010-09-23,54080.763058741606
2010-09-24,47319.450572420086
2010-09-26,33702.13843739516
2010-09-27,53528.799259744526
2010-09-28,55943.9138235134
2010-09-29,49914.13195426572
2010-09-30,56588.88824159692
2010-10-01,48532.30093156223
2010-10-03,32435.990390118623
2010-10-04,51136.71579791823
2010-10-05,52536.80560838033
2010-10-06,45625.75529076251
2010-10-07,51572.25962085846
2010-10-08,42955.60871533075
2010-10-10,26281.78336049751
2010-10-11,44972.112252425926
2010-10-12,46543.9873171464
2010-10-13,39978.442204140665
2010-10-14,46431.28678042485
2010-10-15,38464.90941347082
2010-10-17,23438.95253614616
2010-10-18,43078.13148641771
2010-10-19,45646.75196371831
2010-10-20,40098.31716939362
2010-10-21,47561.27526383815
2010-10-22,40571.616726055145
2010-10-24,27302.650651919503
2010-10-25,47680.67027515573
2010-10-26,50873.03158477931
2010-10-27,45821.64217615771
2010-10-28,53647.653638374955
2010-10-29,46884.219200347805
2010-10-31,33668.15330934964
2010-11-01,53888.97574709663
2010-11-02,56818.92984732402
2010-11-03,51417.003434220285
2010-11-04,58824.06011315022
2010-11-05,51594.91327594158
2010-11-07,37399.01068242188
2010-11-08,57151.872234043156
2010-11-09,59657.83667242558
2010-11-10,53895.650430836875
2010-11-11,61023.28572498243
2010-11-12,53609.38886927803
2010-11-14,39363.91067713828
2010-11-15,59259.09075222448
2010-11-16,62015.91354272838
2010-11-17,56605.19341791659
2010-11-18,64172.49903319015
2010-11-19,57269.90087314578
2010-11-21,44177.489296181084
2010-11-22,64664.974820227784
2010-11-23,67988.24846057943
2010-11-24,63089.523446471416
2010-11-25,71085.76044647889
2010-11-26,64501.321051163366
2010-11-28,51611.93925782413
2010-11-29,71941.28961376603
2010-11-30,74911.17918730418
2010-12-01,69453.08476481673
2010-12-02,76678.54961746205
2010-12-03,69112.1895255532
2010-12-05,53655.918711338134
2010-12-06,72430.12754367081
2010-12-07,73692.95060445547
2010-12-08,66404.15394257221
2010-12-09,71707.97855110426
2010-12-10,62165.40392513681
2010-12-12,42751.519915259305
2010-12-13,59627.21434334357
2010-12-14,59100.63222762857
2010-12-15,50171.861108211495
2010-12-16,54023.09674942161
2010-12-17,43249.89224268192
2010-12-19,22156.46991855815
2010-12-20,38627.554976171676
2010-12-21,38005.63193639273
2010-12-22,29296.68497565889
2010-12-23,33681.70773932146
2011-01-04,26090.827351570668
2011-01-05,21304.739992098024
2011-01-06,29548.82364077251
2011-01-07,23331.224753343096
2011-01-09,11474.203037205207
2011-01-10,32444.204286876957
2011-01-11,36124.46764283542
2011-01-12,31439.205501803743
2011-01-13,39494.857990735014
2011-01-14,32813.00658274951
2011-01-16,19285.774026401145
2011-01-17,39106.80287596535
2011-01-18,41474.647437092535
2011-01-19,35352.32482842069
2011-01-20,41887.40430737783
2011-01-21,33643.82420390328
2011-01-23,17038.542974463835
2011-01-24,35424.13402103844
2011-01-25,36475.08442088742
2011-01-26,29186.796341992238
2011-01-27,34734.47452378484
2011-01-28,25704.29635097903
2011-01-30,8187.415751733908
2011-01-31,26461.910442330573
2011-02-01,27630.24855981694
2011-02-02,20679.110551314963
2011-02-03,26769.194039116694
2011-02-04,18466.899233806027
2011-02-06,2860.793986361703
2011-02-07,22258.71428962407
2011-02-08,24618.821636224005
2011-02-09,18893.449738078045
2011-02-10,26208.866003398125
2011-02-11,19097.93264728918
2011-02-13,5648.483352392221
2011-02-14,25957.13041678472
2011-02-15,29086.2968825707
2011-02-16,23971.56578662847
2011-02-17,31727.51096646964
2011-02-18,24880.596374762463
2011-02-20,11430.864567198243
2011-02-21,31488.832933657057
2011-02-22,34217.44998118661
2011-02-23,28570.52377366982
2011-02-24,35684.41609174794
2011-02-25,28110.222609965855
2011-02-27,13058.193181662213
2011-02-28,32297.265290434094
2011-03-01,34232.27249715137
2011-03-02,27843.36746335856
2011-03-03,34291.10675775887
2011-03-04,26147.91834476061
2011-03-06,10316.793770701446
2011-03-07,29369.129498116796
2011-03-08,31260.662137557752
2011-03-09,24971.720176444556
2011-03-10,31658.36571850053
2011-03-11,23884.045343683698
2011-03-13,9124.214326099875
2011-03-14,28842.04653141692
2011-03-15,31456.375663287716
2011-03-16,25923.134113106284
2011-03-17,33372.94160815752
2011-03-18,26343.550554178877
2011-03-20,12919.60947140991
2011-03-21,33182.806260176934
2011-03-22,36234.47522765397
2011-03-23,31014.805386606287
2011-03-24,38642.45689313725
2011-03-25,31647.36967711435
2011-03-27,17852.189199788143
2011-03-28,37716.41717009024
2011-03-29,40238.52872990129
2011-03-30,34372.51509934677
2011-03-31,41254.4219540583
2011-04-01,33434.638574577955
2011-04-03,17846.596408872894
2011-04-04,36793.04849196521
2011-04-05,38417.716209057755
2011-04-06,31700.088674257142
2011-04-07,37800.46385143477
2011-04-08,29291.523410151058
2011-04-10,12677.811657494445
2011-04-11,31317.054961127164
2011-04-12,32784.64472389233
2011-04-13,26064.552005553556
2011-04-14,32317.140011211275
2011-04-15,24110.745113460922
2011-04-17,8514.62734331979
2011-04-18,27840.012952090958
2011-04-19,30087.125332804128
2011-04-20,24217.92806661941
2011-04-21,31368.841734979873
2011-04-26,33458.67284085268
2011-04-27,28251.77923716384
2011-04-28,35950.88969360555
2011-05-01,15711.97942601233
2011-05-03,38711.95278588067
2011-05-04,33210.76653441206
2011-05-05,40487.1367759734
2011-05-06,33083.87181623296
2011-05-08,18362.671541801014
2011-05-09,37742.79800528624
2011-05-10,39790.27487653593
2011-05-11,33476.64680141618
2011-05-12,39954.74902484146
2011-05-13,31790.449010869746
2011-05-15,15743.621532378924
2011-05-16,34595.962733650485
2011-05-17,36225.45431987705
2011-05-18,29614.278488383938
2011-05-19,35922.187654913316
2011-05-20,27718.074886348215
2011-05-22,11975.200759606232
2011-05-23,31158.0012596238
2011-05-24,33222.18566116888
2011-05-25,27134.98868922562
2011-05-26,34038.66260310749
2011-05-27,26482.594988102253
2011-05-29,12108.258850536482
2011-05-31,34676.045693586886
2011-06-01,29179.26971706934
2011-06-02,36601.77302627739
2011-06-03,29476.997872318665
2011-06-05,15653.10348656756
2011-06-06,35615.48439007094
2011-06-07,38305.6299308154
2011-06-08,32671.39458071661
2011-06-09,39841.03646798713
2011-06-10,32355.71205156308
2011-06-12,17534.09796842862
2011-06-13,36889.17364505427
2011-06-14,38923.11155486845
2011-06-15,32603.1120371735
2011-06-16,39077.51173796792
2011-06-17,30907.66577071627
2011-06-19,14826.92076987996
2011-06-20,33643.00625594412
2011-06-21,35218.86263033263
2011-06-22,28533.99116206142
2011-06-23,34746.12324905785
2011-06-24,26422.848510787113
2011-06-26,10370.073409437497
2011-06-27,29363.3486423065
2011-06-28,31217.022248431233
2011-06-29,24900.763616791683
2011-06-30,31559.900103465086
2011-07-01,23747.45954268487
2011-07-03,8841.719396462173
2011-07-04,28435.803438955096
2011-07-05,30884.458124631285
2011-07-06,25139.866421515213
2011-07-07,32330.949808668083
2011-07-08,24995.91513694504
2011-07-10,10832.633612850896
2011-07-11,30673.745336180622
2011-07-12,33279.34911085834
2011-07-13,27599.946076444274
2011-07-14,34765.83748962943
2011-07-15,27319.59009701047
2011-07-17,12707.007514426861
2011-07-18,32231.61568098196
2011-07-19,34477.09938391068
2011-07-20,28408.913698976758
2011-07-21,35173.097319116525
2011-07-22,27328.200414035207
2011-07-24,11989.40488162552
2011-07-25,31214.824266959826
2011-07-26,33219.96307628399
2011-07-27,26979.807844697218
2011-07-28,33647.40796564619
2011-07-29,25785.56047816392
2011-07-31,10654.120457206573
2011-08-01,30097.646798352147
2011-08-02,32388.315511052475
2011-08-03,26491.22690274967
2011-08-04,33547.32481092115
2011-08-05,26105.48261005278
2011-08-07,11846.634389269533
2011-08-08,31710.233416820254
2011-08-09,34388.56883973461
2011-08-10,28831.457719734826
2011-08-11,36165.943700471515
2011-08-12,28928.88773872513
2011-08-14,14822.826100324111
2011-08-15,34623.52777016769
2011-08-16,37144.069965041504
2011-08-17,31336.87024657668
2011-08-18,38334.89198830317
2011-08-19,30684.124906328943
2011-08-21,15570.067696997958
2011-08-22,34808.356557514686
2011-08-23,36752.08778004341
2011-08-24,30373.763413209188
2011-08-25,36827.05712715635
2011-08-26,28678.658574335626
2011-08-28,12789.486830574835
2011-08-30,33604.67923326688
2011-08-31,27229.81087475543
2011-09-01,33822.82915864088
2011-09-02,25954.578793922796
2011-09-04,11043.568854970232
2011-09-05,30726.010926720013
2011-09-06,33347.60780081283
2011-09-07,27876.506961863626
2011-09-08,35455.248822323374
2011-09-09,28632.742386140897
2011-09-11,15894.493539442637
2011-09-12,36650.995585831944
2011-09-13,40302.184270612306
2011-09-14,35789.422945122365
2011-09-15,44229.69396948685
2011-09-16,38148.30067096417
2011-09-18,26450.390561442666
2011-09-19,47474.453809188286
2011-09-20,51210.423247275336
2011-09-21,46594.46716011953
2011-09-22,54743.10137254937
2011-09-23,48185.95696920844
2011-09-25,35024.949143576334
2011-09-26,55093.03264174865
2011-09-27,57750.869797080144
2011-09-28,51959.37249006712
2011-09-29,58862.35952150848
2011-09-30,51018.60615303996
2011-10-02,35282.61302799821
2011-10-03,54122.72760971573
2011-10-04,55630.83527961055
2011-10-05,48794.316275057194
2011-10-06,54780.6406571472
2011-10-07,46168.79159119795
2011-10-09,29402.85749550192
2011-10-10,48000.131999506906
2011-10-11,49451.522552972136
2011-10-12,42741.856695396586
2011-10-13,49031.297496985135
2011-10-14,40887.015600748025
2011-10-16,25482.16268279647
2011-10-17,44930.749351551654
2011-10-18,47314.77151017496
2011-10-19,41592.44707860954
2011-10-20,48896.492476177445
2011-10-21,41766.5990989717
2011-10-23,28284.56637673592
2011-10-24,48593.49867320558
2011-10-25,51742.84700642168
2011-10-26,46674.287926898454
2011-10-27,54507.908346502845
2011-10-28,47775.00797382385
2011-10-30,34677.865706974946
2011-10-31,54980.16012574971
2011-11-01,58000.91564997868
2011-11-02,52694.76730795976
2011-11-03,60198.12686864243
2011-11-04,53061.40926625353
2011-11-06,39022.32040751566
2011-11-07,58832.36689012477
2011-11-08,61377.50035323047
2011-11-09,55634.42862558666
2011-11-10,62759.87707564215
2011-11-11,55322.09385784951
2011-11-13,40966.55096371617
2011-11-14,60779.136450174075
2011-11-15,63438.754893754056
2011-11-16,57919.97100149393
2011-11-17,65372.72581005292
2011-11-18,58353.959309566475
2011-11-20,45045.45001645642
2011-11-21,65443.87798753913
2011-11-22,68697.88221899506
2011-11-23,63754.674202216804
2011-11-24,71735.7352007863
2011-11-25,65169.314371740285
2011-11-27,52427.11623409936
2011-11-28,72889.08004792928
2011-11-29,76031.50567755102
2011-11-30,70784.93029492004
2011-12-01,78258.84104661524
2011-12-02,70974.70107717981
2011-12-04,56166.439040037134
2011-12-05,75295.2619023965
2011-12-06,76924.37090159181
2011-12-07,70006.24479614057
2011-12-08,75677.45732300855
2011-12-09,66491.13186149477
2011-12-10,12713.919904417135
2011-12-11,47725.1628873468
2011-12-12,64877.67509086135
2011-12-13,64587.46939680162
2011-12-14,55848.8112842492
2011-12-15,59839.0231805247
2011-12-16,49149.872291759326
2011-12-17,-5916.479457608832
2011-12-18,28050.72467876747
2011-12-19,44430.75116547413
2011-12-20,43660.352208310585
2011-12-21,34748.209784853105
2011-12-22,38879.28761606234
2011-12-23,28645.93782447542
2011-12-24,-25656.2500618568
2011-12-25,9369.834445875771
2011-12-26,27083.004680858445
2011-12-27,27893.19749557973
2011-12-28,20776.528880333855
2011-12-29,26880.409127701012
2011-12-30,18755.544783085843
2011-12-31,-33347.208133424865
2012-01-01,3922.526375239937
2012-01-02,23875.967322618308
2012-01-03,26875.762725520563
2012-01-04,21852.20392236927
2012-01-05,29909.462193281328
2012-01-06,23558.645261235586
2012-01-07,-26984.38970541473
2012-01-08,11601.17411037024
