StockCode,CurrentStock,ForecastDemand,ReorderQuantity
16156L,950,25120.237709322257,24170.237709322257
16156N,1572,25120.237709322257,23548.237709322257
16156S,16761,25120.237709322257,8359.237709322257
16161C,1016,25120.237709322257,24104.237709322257
16161E,750,25120.237709322257,24370.237709322257
16161G,975,25120.237709322257,24145.237709322257
16161M,1098,25120.237709322257,24022.237709322257
16161P,13328,25120.237709322257,11792.237709322257
16161U,10076,25120.237709322257,15044.237709322257
16162L,8254,25120.237709322257,16866.237709322257
16162M,262,25120.237709322257,24858.237709322257
16168M,1757,25120.237709322257,23363.237709322257
16168S,1312,25120.237709322257,23808.237709322257
16169A,25,25120.237709322257,25095.237709322257
16169C,1350,25120.237709322257,23770.237709322257
16169D,250,25120.237709322257,24870.237709322257
16169E,4563,25120.237709322257,20557.237709322257
16169F,975,25120.237709322257,24145.237709322257
16169G,25,25120.237709322257,25095.237709322257
16169K,2100,25120.237709322257,23020.237709322257
16169M,2060,25120.237709322257,23060.237709322257
16169N,2050,25120.237709322257,23070.237709322257
16169P,1750,25120.237709322257,23370.237709322257
16192,3,25120.237709322257,25117.237709322257
16195,1,25120.237709322257,25119.237709322257
16201A,101,25120.237709322257,25019.237709322257
16201B,34,25120.237709322257,25086.237709322257
16202A,663,25120.237709322257,24457.237709322257
16202B,1059,25120.237709322257,24061.237709322257
16202C,97,25120.237709322257,25023.237709322257
16202E,94,25120.237709322257,25026.237709322257
16206B,192,25120.237709322257,24928.237709322257
16207A,276,25120.237709322257,24844.237709322257
16207B,274,25120.237709322257,24846.237709322257
16212,448,25120.237709322257,24672.237709322257
16215,8,25120.237709322257,25112.237709322257
16216,4158,25120.237709322257,20962.237709322257
16218,4632,25120.237709322257,20488.237709322257
16219,3358,25120.237709322257,21762.237709322257
16225,1530,25120.237709322257,23590.237709322257
16235,5943,25120.237709322257,19177.237709322257
16236,2666,25120.237709322257,22454.237709322257
16237,10938,25120.237709322257,14182.237709322257
16238,2525,25120.237709322257,22595.237709322257
16239,347,25120.237709322257,24773.237709322257
16243B,212,25120.237709322257,24908.237709322257
16244A,193,25120.237709322257,24927.237709322257
16244B,345,25120.237709322257,24775.237709322257
16245A,11,25120.237709322257,25109.237709322257
16248B,127,25120.237709322257,24993.237709322257
16254,1011,25120.237709322257,24109.237709322257
16256B,556,25120.237709322257,24564.237709322257
16256C,169,25120.237709322257,24951.237709322257
16258A,1080,25120.237709322257,24040.237709322257
16258B,1017,25120.237709322257,24103.237709322257
16259,5473,25120.237709322257,19647.237709322257
17001,1895,25120.237709322257,23225.237709322257
17003,71440,25120.237709322257,0.0
17007B,46,25120.237709322257,25074.237709322257
17011A,261,25120.237709322257,24859.237709322257
17011B,19,25120.237709322257,25101.237709322257
17011C,335,25120.237709322257,24785.237709322257
17011D,209,25120.237709322257,24911.237709322257
17011E,124,25120.237709322257,24996.237709322257
17011F,386,25120.237709322257,24734.237709322257
17012A,791,25120.237709322257,24329.237709322257
17012B,728,25120.237709322257,24392.237709322257
17012C,862,25120.237709322257,24258.237709322257
17012D,524,25120.237709322257,24596.237709322257
17012E,294,25120.237709322257,24826.237709322257
17012F,605,25120.237709322257,24515.237709322257
17013B,256,25120.237709322257,24864.237709322257
17013C,213,25120.237709322257,24907.237709322257
17013D,1069,25120.237709322257,24051.237709322257
17013F,62,25120.237709322257,25058.237709322257
17014A,480,25120.237709322257,24640.237709322257
17014C,97,25120.237709322257,25023.237709322257
17014D,479,25120.237709322257,24641.237709322257
17014E,191,25120.237709322257,24929.237709322257
17014F,69,25120.237709322257,25051.237709322257
17021,4436,25120.237709322257,20684.237709322257
17027A,228,25120.237709322257,24892.237709322257
17028J,6,25120.237709322257,25114.237709322257
17033,3292,25120.237709322257,21828.237709322257
17038,2659,25120.237709322257,22461.237709322257
17039,3707,25120.237709322257,21413.237709322257
17061,52,25120.237709322257,25068.237709322257
17084A,442,25120.237709322257,24678.237709322257
17084G,50,25120.237709322257,25070.237709322257
17084J,481,25120.237709322257,24639.237709322257
17084N,2798,25120.237709322257,22322.237709322257
17084P,1041,25120.237709322257,24079.237709322257
17084R,12137,25120.237709322257,12983.237709322257
17090A,215,25120.237709322257,24905.237709322257
17090D,95,25120.237709322257,25025.237709322257
17091A,2348,25120.237709322257,22772.237709322257
17091B,282,25120.237709322257,24838.237709322257
17091F,19,25120.237709322257,25101.237709322257
17091J,4086,25120.237709322257,21034.237709322257
17096,6243,25120.237709322257,18877.237709322257
17107D,336,25120.237709322257,24784.237709322257
17108D,355,25120.237709322257,24765.237709322257
17109A,770,25120.237709322257,24350.237709322257
17109B,4614,25120.237709322257,20506.237709322257
17109C,3124,25120.237709322257,21996.237709322257
17109D,1274,25120.237709322257,23846.237709322257
17129C,205,25120.237709322257,24915.237709322257
17129D,2145,25120.237709322257,22975.237709322257
17129F,1584,25120.237709322257,23536.237709322257
17136A,798,25120.237709322257,24322.237709322257
17164B,3515,25120.237709322257,21605.237709322257
17164D,1943,25120.237709322257,23177.237709322257
17165B,814,25120.237709322257,24306.237709322257
17165D,815,25120.237709322257,24305.237709322257
17174,36,25120.237709322257,25084.237709322257
17178,133,25120.237709322257,24987.237709322257
17181,354,25120.237709322257,24766.237709322257
17191A,33,25120.237709322257,25087.237709322257
18007,11424,25120.237709322257,13696.237709322257
18010,64,25120.237709322257,25056.237709322257
18094C,446,25120.237709322257,24674.237709322257
18096C,125,25120.237709322257,24995.237709322257
18096c,8,25120.237709322257,25112.237709322257
18097A,19,25120.237709322257,25101.237709322257
18097B,13,25120.237709322257,25107.237709322257
18097C,1818,25120.237709322257,23302.237709322257
18098A,2,25120.237709322257,25118.237709322257
18098B,3,25120.237709322257,25117.237709322257
18098C,1283,25120.237709322257,23837.237709322257
18098c,332,25120.237709322257,24788.237709322257
20615,652,25120.237709322257,24468.237709322257
20616,287,25120.237709322257,24833.237709322257
20617,499,25120.237709322257,24621.237709322257
20618,299,25120.237709322257,24821.237709322257
20619,584,25120.237709322257,24536.237709322257
20620,15,25120.237709322257,25105.237709322257
20621,372,25120.237709322257,24748.237709322257
20622,590,25120.237709322257,24530.237709322257
20652,1530,25120.237709322257,23590.237709322257
20653,2006,25120.237709322257,23114.237709322257
20654,400,25120.237709322257,24720.237709322257
20655,421,25120.237709322257,24699.237709322257
20657,1883,25120.237709322257,23237.237709322257
20658,1623,25120.237709322257,23497.237709322257
20659,374,25120.237709322257,24746.237709322257
20660,77,25120.237709322257,25043.237709322257
20661,900,25120.237709322257,24220.237709322257
20662,730,25120.237709322257,24390.237709322257
20663,1076,25120.237709322257,24044.237709322257
20664,66,25120.237709322257,25054.237709322257
20665,1389,25120.237709322257,23731.237709322257
20666,911,25120.237709322257,24209.237709322257
20667,40,25120.237709322257,25080.237709322257
20668,22271,25120.237709322257,2849.2377093222567
20669,824,25120.237709322257,24296.237709322257
20670,694,25120.237709322257,24426.237709322257
20671,797,25120.237709322257,24323.237709322257
20672,140,25120.237709322257,24980.237709322257
20673,11,25120.237709322257,25109.237709322257
20674,3462,25120.237709322257,21658.237709322257
20675,6573,25120.237709322257,18547.237709322257
20676,10675,25120.237709322257,14445.237709322257
20677,7908,25120.237709322257,17212.237709322257
20678,4,25120.237709322257,25116.237709322257
20679,6259,25120.237709322257,18861.237709322257
20680,6,25120.237709322257,25114.237709322257
20681,1436,25120.237709322257,23684.237709322257
20682,3137,25120.237709322257,21983.237709322257
20683,2,25120.237709322257,25118.237709322257
20684,586,25120.237709322257,24534.237709322257
20685,9981,25120.237709322257,15139.237709322257
20686,605,25120.237709322257,24515.237709322257
20688,884,25120.237709322257,24236.237709322257
20689,469,25120.237709322257,24651.237709322257
20691,20,25120.237709322257,25100.237709322257
20692,913,25120.237709322257,24207.237709322257
20693,33,25120.237709322257,25087.237709322257
20694,167,25120.237709322257,24953.237709322257
20695,143,25120.237709322257,24977.237709322257
20696,153,25120.237709322257,24967.237709322257
20697,44,25120.237709322257,25076.237709322257
20698,107,25120.237709322257,25013.237709322257
20699,301,25120.237709322257,24819.237709322257
20700,421,25120.237709322257,24699.237709322257
20701,353,25120.237709322257,24767.237709322257
20702,814,25120.237709322257,24306.237709322257
20703,475,25120.237709322257,24645.237709322257
20704,361,25120.237709322257,24759.237709322257
20705,273,25120.237709322257,24847.237709322257
20707,1616,25120.237709322257,23504.237709322257
20711,12845,25120.237709322257,12275.237709322257
20712,17957,25120.237709322257,7163.237709322257
20713,23085,25120.237709322257,2035.2377093222567
20714,1600,25120.237709322257,23520.237709322257
20715,400,25120.237709322257,24720.237709322257
20716,1543,25120.237709322257,23577.237709322257
20717,6342,25120.237709322257,18778.237709322257
20718,13489,25120.237709322257,11631.237709322257
20719,24948,25120.237709322257,172.2377093222567
20721,2,25120.237709322257,25118.237709322257
20723,18485,25120.237709322257,6635.237709322257
20724,32497,25120.237709322257,0.0
20725,40942,25120.237709322257,0.0
20726,22344,25120.237709322257,2776.2377093222567
20727,27126,25120.237709322257,0.0
20728,24892,25120.237709322257,228.2377093222567
20729,5271,25120.237709322257,19849.237709322257
20730,2218,25120.237709322257,22902.237709322257
20731,4265,25120.237709322257,20855.237709322257
20733,1961,25120.237709322257,23159.237709322257
20734,1683,25120.237709322257,23437.237709322257
20735,1546,25120.237709322257,23574.237709322257
20736,485,25120.237709322257,24635.237709322257
20737,2,25120.237709322257,25118.237709322257
20738,1610,25120.237709322257,23510.237709322257
20739,1,25120.237709322257,25119.237709322257
20743,1,25120.237709322257,25119.237709322257
20747,849,25120.237709322257,24271.237709322257
20748,1656,25120.237709322257,23464.237709322257
20749,3156,25120.237709322257,21964.237709322257
20750,3777,25120.237709322257,21343.237709322257
20751,2941,25120.237709322257,22179.237709322257
20752,1536,25120.237709322257,23584.237709322257
20753,218,25120.237709322257,24902.237709322257
20754,5216,25120.237709322257,19904.237709322257
20755,5162,25120.237709322257,19958.237709322257
20756,5734,25120.237709322257,19386.237709322257
20757,5375,25120.237709322257,19745.237709322257
20758,5441,25120.237709322257,19679.237709322257
20759,5782,25120.237709322257,19338.237709322257
20760,5586,25120.237709322257,19534.237709322257
20761,470,25120.237709322257,24650.237709322257
20762,466,25120.237709322257,24654.237709322257
20763,269,25120.237709322257,24851.237709322257
20764,692,25120.237709322257,24428.237709322257
20765,452,25120.237709322257,24668.237709322257
20766,525,25120.237709322257,24595.237709322257
20767,819,25120.237709322257,24301.237709322257
20768,771,25120.237709322257,24349.237709322257
20769,442,25120.237709322257,24678.237709322257
20770,1056,25120.237709322257,24064.237709322257
20771,629,25120.237709322257,24491.237709322257
20772,975,25120.237709322257,24145.237709322257
20773,3357,25120.237709322257,21763.237709322257
20774,3535,25120.237709322257,21585.237709322257
20775,3671,25120.237709322257,21449.237709322257
20776,3266,25120.237709322257,21854.237709322257
20777,3669,25120.237709322257,21451.237709322257
20778,3618,25120.237709322257,21502.237709322257
20780,249,25120.237709322257,24871.237709322257
20781,110,25120.237709322257,25010.237709322257
20782,171,25120.237709322257,24949.237709322257
20783,167,25120.237709322257,24953.237709322257
20784,107,25120.237709322257,25013.237709322257
20785,140,25120.237709322257,24980.237709322257
20786,105,25120.237709322257,25015.237709322257
20787,76,25120.237709322257,25044.237709322257
20791,7,25120.237709322257,25113.237709322257
20793,281,25120.237709322257,24839.237709322257
20794,213,25120.237709322257,24907.237709322257
20795,135,25120.237709322257,24985.237709322257
20796,99,25120.237709322257,25021.237709322257
20798,574,25120.237709322257,24546.237709322257
20799,201,25120.237709322257,24919.237709322257
20800,1005,25120.237709322257,24115.237709322257
20801,1102,25120.237709322257,24018.237709322257
20802,1067,25120.237709322257,24053.237709322257
20803,1166,25120.237709322257,23954.237709322257
20804,364,25120.237709322257,24756.237709322257
20812,5,25120.237709322257,25115.237709322257
20814,189,25120.237709322257,24931.237709322257
20816,24,25120.237709322257,25096.237709322257
20818,87,25120.237709322257,25033.237709322257
20819,229,25120.237709322257,24891.237709322257
20820,14,25120.237709322257,25106.237709322257
20821,53,25120.237709322257,25067.237709322257
20822,2,25120.237709322257,25118.237709322257
20823,261,25120.237709322257,24859.237709322257
20825,361,25120.237709322257,24759.237709322257
20826,355,25120.237709322257,24765.237709322257
20827,173,25120.237709322257,24947.237709322257
20828,4481,25120.237709322257,20639.237709322257
20829,4850,25120.237709322257,20270.237709322257
20830,413,25120.237709322257,24707.237709322257
20831,480,25120.237709322257,24640.237709322257
20832,1824,25120.237709322257,23296.237709322257
20833,52,25120.237709322257,25068.237709322257
20835,81,25120.237709322257,25039.237709322257
20836,224,25120.237709322257,24896.237709322257
20837,165,25120.237709322257,24955.237709322257
20838,446,25120.237709322257,24674.237709322257
20839,642,25120.237709322257,24478.237709322257
20840,886,25120.237709322257,24234.237709322257
20845,100,25120.237709322257,25020.237709322257
20846,1471,25120.237709322257,23649.237709322257
20847,81,25120.237709322257,25039.237709322257
20848,39,25120.237709322257,25081.237709322257
20849,696,25120.237709322257,24424.237709322257
20850,820,25120.237709322257,24300.237709322257
20851,336,25120.237709322257,24784.237709322257
20854,462,25120.237709322257,24658.237709322257
20855,145,25120.237709322257,24975.237709322257
20856,417,25120.237709322257,24703.237709322257
20857,258,25120.237709322257,24862.237709322257
20858,4,25120.237709322257,25116.237709322257
20859,15,25120.237709322257,25105.237709322257
20860,20,25120.237709322257,25100.237709322257
20861,53,25120.237709322257,25067.237709322257
20862,406,25120.237709322257,24714.237709322257
20863,312,25120.237709322257,24808.237709322257
20864,252,25120.237709322257,24868.237709322257
20865,251,25120.237709322257,24869.237709322257
20866,1287,25120.237709322257,23833.237709322257
20867,1141,25120.237709322257,23979.237709322257
20868,882,25120.237709322257,24238.237709322257
20869,530,25120.237709322257,24590.237709322257
20870,31,25120.237709322257,25089.237709322257
20871,1276,25120.237709322257,23844.237709322257
20877,12,25120.237709322257,25108.237709322257
20878,768,25120.237709322257,24352.237709322257
20879,87,25120.237709322257,25033.237709322257
20880,17,25120.237709322257,25103.237709322257
20881,3,25120.237709322257,25117.237709322257
20882,3,25120.237709322257,25117.237709322257
20884,13,25120.237709322257,25107.237709322257
20885,1,25120.237709322257,25119.237709322257
20886,1803,25120.237709322257,23317.237709322257
20887,33,25120.237709322257,25087.237709322257
20888,367,25120.237709322257,24753.237709322257
20889,657,25120.237709322257,24463.237709322257
20890,605,25120.237709322257,24515.237709322257
20891,684,25120.237709322257,24436.237709322257
20892,106,25120.237709322257,25014.237709322257
20893,675,25120.237709322257,24445.237709322257
20894,282,25120.237709322257,24838.237709322257
20895,16,25120.237709322257,25104.237709322257
20896,40,25120.237709322257,25080.237709322257
20897,358,25120.237709322257,24762.237709322257
20898,327,25120.237709322257,24793.237709322257
20899,48,25120.237709322257,25072.237709322257
20901,92,25120.237709322257,25028.237709322257
20902,212,25120.237709322257,24908.237709322257
20903,189,25120.237709322257,24931.237709322257
20905,10,25120.237709322257,25110.237709322257
20906,103,25120.237709322257,25017.237709322257
20910,110,25120.237709322257,25010.237709322257
20911,2,25120.237709322257,25118.237709322257
20913,322,25120.237709322257,24798.237709322257
20914,18981,25120.237709322257,6139.237709322257
20931,676,25120.237709322257,24444.237709322257
20932,334,25120.237709322257,24786.237709322257
20933,505,25120.237709322257,24615.237709322257
20934,295,25120.237709322257,24825.237709322257
20935,302,25120.237709322257,24818.237709322257
20936,342,25120.237709322257,24778.237709322257
20939,12,25120.237709322257,25108.237709322257
20940,120,25120.237709322257,25000.237709322257
20941,1019,25120.237709322257,24101.237709322257
20942,6,25120.237709322257,25114.237709322257
20943,417,25120.237709322257,24703.237709322257
20950,689,25120.237709322257,24431.237709322257
20952,815,25120.237709322257,24305.237709322257
20953,33,25120.237709322257,25087.237709322257
20954,3,25120.237709322257,25117.237709322257
20956,2972,25120.237709322257,22148.237709322257
20957,171,25120.237709322257,24949.237709322257
20958,38,25120.237709322257,25082.237709322257
20959,5,25120.237709322257,25115.237709322257
20960,1910,25120.237709322257,23210.237709322257
20961,3684,25120.237709322257,21436.237709322257
20963,3646,25120.237709322257,21474.237709322257
20964,22,25120.237709322257,25098.237709322257
20966,3166,25120.237709322257,21954.237709322257
20967,1145,25120.237709322257,23975.237709322257
20968,44,25120.237709322257,25076.237709322257
20969,3294,25120.237709322257,21826.237709322257
20970,2547,25120.237709322257,22573.237709322257
20971,22629,25120.237709322257,2491.2377093222567
20972,20761,25120.237709322257,4359.237709322257
20973,10128,25120.237709322257,14992.237709322257
20974,13559,25120.237709322257,11561.237709322257
20975,18738,25120.237709322257,6382.237709322257
20976,555,25120.237709322257,24565.237709322257
20977,3856,25120.237709322257,21264.237709322257
20978,4163,25120.237709322257,20957.237709322257
20979,8219,25120.237709322257,16901.237709322257
20980,234,25120.237709322257,24886.237709322257
20981,4782,25120.237709322257,20338.237709322257
20982,4928,25120.237709322257,20192.237709322257
20983,6342,25120.237709322257,18778.237709322257
20984,6085,25120.237709322257,19035.237709322257
20985,2395,25120.237709322257,22725.237709322257
20986,1251,25120.237709322257,23869.237709322257
20987,131,25120.237709322257,24989.237709322257
20988,24,25120.237709322257,25096.237709322257
20989,410,25120.237709322257,24710.237709322257
20990,982,25120.237709322257,24138.237709322257
20991,7084,25120.237709322257,18036.237709322257
20992,6224,25120.237709322257,18896.237709322257
20993,10967,25120.237709322257,14153.237709322257
20994,47,25120.237709322257,25073.237709322257
20995,3,25120.237709322257,25117.237709322257
20996,6343,25120.237709322257,18777.237709322257
20997,170,25120.237709322257,24950.237709322257
20998,332,25120.237709322257,24788.237709322257
21000,696,25120.237709322257,24424.237709322257
21001,149,25120.237709322257,24971.237709322257
21002,429,25120.237709322257,24691.237709322257
21003,109,25120.237709322257,25011.237709322257
21004,137,25120.237709322257,24983.237709322257
21007,1932,25120.237709322257,23188.237709322257
21008,1,25120.237709322257,25119.237709322257
21009,1065,25120.237709322257,24055.237709322257
21010,857,25120.237709322257,24263.237709322257
21011,1869,25120.237709322257,23251.237709322257
21012,2365,25120.237709322257,22755.237709322257
21014,1975,25120.237709322257,23145.237709322257
21015,1722,25120.237709322257,23398.237709322257
21016,991,25120.237709322257,24129.237709322257
21017,662,25120.237709322257,24458.237709322257
21018,412,25120.237709322257,24708.237709322257
21025,314,25120.237709322257,24806.237709322257
21026,558,25120.237709322257,24562.237709322257
21027,417,25120.237709322257,24703.237709322257
21028,324,25120.237709322257,24796.237709322257
21029,2,25120.237709322257,25118.237709322257
21030,250,25120.237709322257,24870.237709322257
21031,147,25120.237709322257,24973.237709322257
21032,216,25120.237709322257,24904.237709322257
21033,4731,25120.237709322257,20389.237709322257
21034,4242,25120.237709322257,20878.237709322257
21035,6091,25120.237709322257,19029.237709322257
21036,1,25120.237709322257,25119.237709322257
21038,170,25120.237709322257,24950.237709322257
21039,1319,25120.237709322257,23801.237709322257
21040,895,25120.237709322257,24225.237709322257
21041,2732,25120.237709322257,22388.237709322257
21042,1505,25120.237709322257,23615.237709322257
21043,679,25120.237709322257,24441.237709322257
21051,1000,25120.237709322257,24120.237709322257
21054,395,25120.237709322257,24725.237709322257
21055,407,25120.237709322257,24713.237709322257
21056,559,25120.237709322257,24561.237709322257
21058,2422,25120.237709322257,22698.237709322257
21059,1621,25120.237709322257,23499.237709322257
21060,1288,25120.237709322257,23832.237709322257
21061,1433,25120.237709322257,23687.237709322257
21062,1078,25120.237709322257,24042.237709322257
21063,1492,25120.237709322257,23628.237709322257
21064,909,25120.237709322257,24211.237709322257
21065,613,25120.237709322257,24507.237709322257
21066,2293,25120.237709322257,22827.237709322257
21067,4832,25120.237709322257,20288.237709322257
21068,4398,25120.237709322257,20722.237709322257
21069,5163,25120.237709322257,19957.237709322257
21070,2063,25120.237709322257,23057.237709322257
21071,4476,25120.237709322257,20644.237709322257
21076,844,25120.237709322257,24276.237709322257
21077,2918,25120.237709322257,22202.237709322257
21078,7242,25120.237709322257,17878.237709322257
21080,31825,25120.237709322257,0.0
21081,4,25120.237709322257,25116.237709322257
21082,7191,25120.237709322257,17929.237709322257
21084,2929,25120.237709322257,22191.237709322257
21085,13732,25120.237709322257,11388.237709322257
21086,16903,25120.237709322257,8217.237709322257
21087,260,25120.237709322257,24860.237709322257
21088,16615,25120.237709322257,8505.237709322257
21089,325,25120.237709322257,24795.237709322257
21090,3119,25120.237709322257,22001.237709322257
21091,13700,25120.237709322257,11420.237709322257
21092,12846,25120.237709322257,12274.237709322257
21094,20161,25120.237709322257,4959.237709322257
21095,498,25120.237709322257,24622.237709322257
21096,15924,25120.237709322257,9196.237709322257
21097,33,25120.237709322257,25087.237709322257
21098,9197,25120.237709322257,15923.237709322257
21099,13388,25120.237709322257,11732.237709322257
21100,2553,25120.237709322257,22567.237709322257
21102,82,25120.237709322257,25038.237709322257
21106,801,25120.237709322257,24319.237709322257
21107,2463,25120.237709322257,22657.237709322257
21108,13105,25120.237709322257,12015.237709322257
21109,1185,25120.237709322257,23935.237709322257
21110,1652,25120.237709322257,23468.237709322257
21111,1409,25120.237709322257,23711.237709322257
21112,2234,25120.237709322257,22886.237709322257
21114,5783,25120.237709322257,19337.237709322257
21115,1262,25120.237709322257,23858.237709322257
21116,1414,25120.237709322257,23706.237709322257
21117,334,25120.237709322257,24786.237709322257
21118,69,25120.237709322257,25051.237709322257
21119,3,25120.237709322257,25117.237709322257
21120,2,25120.237709322257,25118.237709322257
21121,15870,25120.237709322257,9250.237709322257
21122,12741,25120.237709322257,12379.237709322257
21123,2785,25120.237709322257,22335.237709322257
21124,10093,25120.237709322257,15027.237709322257
21125,2169,25120.237709322257,22951.237709322257
21126,2343,25120.237709322257,22777.237709322257
21127,298,25120.237709322257,24822.237709322257
21128,129,25120.237709322257,24991.237709322257
21129,127,25120.237709322257,24993.237709322257
21130,722,25120.237709322257,24398.237709322257
21131,276,25120.237709322257,24844.237709322257
21132,98,25120.237709322257,25022.237709322257
21133,720,25120.237709322257,24400.237709322257
21134,381,25120.237709322257,24739.237709322257
21135,6080,25120.237709322257,19040.237709322257
21136,10652,25120.237709322257,14468.237709322257
21137,19954,25120.237709322257,5166.237709322257
21143,2291,25120.237709322257,22829.237709322257
21144,545,25120.237709322257,24575.237709322257
21145,1452,25120.237709322257,23668.237709322257
21146,801,25120.237709322257,24319.237709322257
21147,666,25120.237709322257,24454.237709322257
21148,1,25120.237709322257,25119.237709322257
21153,393,25120.237709322257,24727.237709322257
21154,8402,25120.237709322257,16718.237709322257
21155,6734,25120.237709322257,18386.237709322257
21156,9399,25120.237709322257,15721.237709322257
21157,714,25120.237709322257,24406.237709322257
21158,2613,25120.237709322257,22507.237709322257
21159,2118,25120.237709322257,23002.237709322257
21160,795,25120.237709322257,24325.237709322257
21161,2385,25120.237709322257,22735.237709322257
21162,2407,25120.237709322257,22713.237709322257
21163,2829,25120.237709322257,22291.237709322257
21164,6058,25120.237709322257,19062.237709322257
21165,9450,25120.237709322257,15670.237709322257
21166,20559,25120.237709322257,4561.237709322257
21167,2495,25120.237709322257,22625.237709322257
21169,8986,25120.237709322257,16134.237709322257
21171,1860,25120.237709322257,23260.237709322257
21172,7760,25120.237709322257,17360.237709322257
21173,343,25120.237709322257,24777.237709322257
21174,9947,25120.237709322257,15173.237709322257
21175,20905,25120.237709322257,4215.237709322257
21179,4322,25120.237709322257,20798.237709322257
21181,25541,25120.237709322257,0.0
21185,133,25120.237709322257,24987.237709322257
21186,5304,25120.237709322257,19816.237709322257
21187,1446,25120.237709322257,23674.237709322257
21188,918,25120.237709322257,24202.237709322257
21189,814,25120.237709322257,24306.237709322257
21190,966,25120.237709322257,24154.237709322257
21191,1544,25120.237709322257,23576.237709322257
21192,2285,25120.237709322257,22835.237709322257
21193,112,25120.237709322257,25008.237709322257
21194,581,25120.237709322257,24539.237709322257
21195,1017,25120.237709322257,24103.237709322257
21196,179,25120.237709322257,24941.237709322257
21197,466,25120.237709322257,24654.237709322257
21198,1283,25120.237709322257,23837.237709322257
21199,1305,25120.237709322257,23815.237709322257
21200,1425,25120.237709322257,23695.237709322257
21201,2757,25120.237709322257,22363.237709322257
21202,857,25120.237709322257,24263.237709322257
21203,1541,25120.237709322257,23579.237709322257
21204,1609,25120.237709322257,23511.237709322257
21205,683,25120.237709322257,24437.237709322257
21206,2170,25120.237709322257,22950.237709322257
21207,3618,25120.237709322257,21502.237709322257
21208,1084,25120.237709322257,24036.237709322257
21209,1477,25120.237709322257,23643.237709322257
21210,15249,25120.237709322257,9871.237709322257
21211,2422,25120.237709322257,22698.237709322257
21212,96560,25120.237709322257,0.0
21213,40733,25120.237709322257,0.0
21214,2011,25120.237709322257,23109.237709322257
21215,4504,25120.237709322257,20616.237709322257
21216,3956,25120.237709322257,21164.237709322257
21217,2961,25120.237709322257,22159.237709322257
21218,5305,25120.237709322257,19815.237709322257
21219,1038,25120.237709322257,24082.237709322257
21220,684,25120.237709322257,24436.237709322257
21221,557,25120.237709322257,24563.237709322257
21222,629,25120.237709322257,24491.237709322257
21223,496,25120.237709322257,24624.237709322257
21224,2219,25120.237709322257,22901.237709322257
21225,2,25120.237709322257,25118.237709322257
21226,250,25120.237709322257,24870.237709322257
21228,97,25120.237709322257,25023.237709322257
21231,19767,25120.237709322257,5353.237709322257
21232,38983,25120.237709322257,0.0
21238,9589,25120.237709322257,15531.237709322257
21239,7457,25120.237709322257,17663.237709322257
